libastal-cava-git r732.cb1578a-1
libastal-git r823.2c5eb54-1
libastal-git-debug r823.2c5eb54-1
libastal-gjs-git r772.07583de-1
libastal-greetd-git r823.2c5eb54-1
libastal-greetd-git-debug r823.2c5eb54-1
libastal-hyprland-git r823.2c5eb54-1
libastal-hyprland-git-debug r823.2c5eb54-1
libastal-io-git r823.2c5eb54-1
libastal-io-git-debug r823.2c5eb54-1
libastal-meta 1-8
libastal-mpris-git r823.2c5eb54-1
libastal-mpris-git-debug r823.2c5eb54-1
libastal-network-git r823.2c5eb54-1
libastal-network-git-debug r823.2c5eb54-1
libastal-notifd-git r823.2c5eb54-1
libastal-notifd-git-debug r823.2c5eb54-1
libastal-powerprofiles-git r823.2c5eb54-1
libastal-powerprofiles-git-debug r823.2c5eb54-1
libastal-river-git r732.cb1578a-1
libastal-tray-git r823.2c5eb54-1
libastal-tray-git-debug r823.2c5eb54-1
libastal-wireplumber-git r823.2c5eb54-1
libastal-wireplumber-git-debug r823.2c5eb54-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.3.0-1
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.3.1-1
libblockdev-crypto 3.3.1-1
libblockdev-fs 3.3.1-1
libblockdev-loop 3.3.1-1
libblockdev-mdraid 3.3.1-1
libblockdev-nvme 3.3.1-1
libblockdev-part 3.3.1-1
libblockdev-swap 3.3.1-1
libbluray 1.3.4-3
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcava 0.10.4-1
libcava-debug 0.10.4-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcloudproviders 0.3.6-2
libcmis 0.6.2-5
libcolord 1.4.8-1
libcue 2.3.0-1
libcups 2:2.4.12-2
libcurl-gnutls 8.14.1-1
libdaemon 0.14-6
libdatachannel 0.22.6-1
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdeflate 1.23-1
libdisplay-info 0.2.0-2
libdmapsharing 3.9.13-1
libdovi 3.3.1-1
libdrm 2.4.125-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebml 1.4.5-1
libebur128 1.2.6-2
libedataserverui4 3.56.2-2
libedit 20250104_3.1-1
libei 1.4.1-1
libelf 0.193-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfakekey 0.3-3
libfdk-aac 2.0.3-1
libffi 3.5.1-1
